NUMANOMES;NOMMES;NUMMES;NOMMESANO;NOMBMSANO;NOMTMSANO;NOMSMSANO;NOMBMS;NOMTMS;NOMSMS
190101;NÃO CADASTRADO;-1;NÃO CADASTRADO;NÃO CADASTRADO;NÃO CADASTRADO;NÃO CADASTRADO;NÃO CADASTRADO;NÃO CADASTRADO;NÃO CADASTRADO
190201;NÃO SE APLICA;-2;NÃO SE APLICA;NÃO SE APLICA;NÃO SE APLICA;NÃO SE APLICA;NÃO SE APLICA;NÃO SE APLICA;NÃO SE APLICA
198001;JANEIRO;1;jan/80;1o BIMESTRE/1980;1o TRIMESTRE/1980;1o SEMESTRE/1980;1o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
198002;FEVEREIRO;2;fev/80;1o BIMESTRE/1980;1o TRIMESTRE/1980;1o SEMESTRE/1980;1o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
198003;MARÇO;3;mar/80;2o BIMESTRE/1980;1o TRIMESTRE/1980;1o SEMESTRE/1980;2o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
198004;ABRIL;4;abr/80;2o BIMESTRE/1980;2o TRIMESTRE/1980;1o SEMESTRE/1980;2o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
198005;MAIO;5;mai/80;3o BIMESTRE/1980;2o TRIMESTRE/1980;1o SEMESTRE/1980;3o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
198006;JUNHO;6;jun/80;3o BIMESTRE/1980;2o TRIMESTRE/1980;1o SEMESTRE/1980;3o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
198007;JULHO;7;jul/80;4o BIMESTRE/1980;3o TRIMESTRE/1980;2o SEMESTRE/1980;4o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
198008;AGOSTO;8;ago/80;4o BIMESTRE/1980;3o TRIMESTRE/1980;2o SEMESTRE/1980;4o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
198009;SETEMBRO;9;set/80;5o BIMESTRE/1980;3o TRIMESTRE/1980;2o SEMESTRE/1980;5o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
198010;OUTUBRO;10;out/80;5o BIMESTRE/1980;4o TRIMESTRE/1980;2o SEMESTRE/1980;5o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
198011;NOVEMBRO;11;nov/80;6o BIMESTRE/1980;4o TRIMESTRE/1980;2o SEMESTRE/1980;6o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
198012;DEZEMBRO;12;dez/80;6o BIMESTRE/1980;4o TRIMESTRE/1980;2o SEMESTRE/1980;6o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
198101;JANEIRO;1;jan/81;1o BIMESTRE/1981;1o TRIMESTRE/1981;1o SEMESTRE/1981;1o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
198102;FEVEREIRO;2;fev/81;1o BIMESTRE/1981;1o TRIMESTRE/1981;1o SEMESTRE/1981;1o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
198103;MARÇO;3;mar/81;2o BIMESTRE/1981;1o TRIMESTRE/1981;1o SEMESTRE/1981;2o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
198104;ABRIL;4;abr/81;2o BIMESTRE/1981;2o TRIMESTRE/1981;1o SEMESTRE/1981;2o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
198105;MAIO;5;mai/81;3o BIMESTRE/1981;2o TRIMESTRE/1981;1o SEMESTRE/1981;3o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
198106;JUNHO;6;jun/81;3o BIMESTRE/1981;2o TRIMESTRE/1981;1o SEMESTRE/1981;3o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
198107;JULHO;7;jul/81;4o BIMESTRE/1981;3o TRIMESTRE/1981;2o SEMESTRE/1981;4o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
198108;AGOSTO;8;ago/81;4o BIMESTRE/1981;3o TRIMESTRE/1981;2o SEMESTRE/1981;4o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
198109;SETEMBRO;9;set/81;5o BIMESTRE/1981;3o TRIMESTRE/1981;2o SEMESTRE/1981;5o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
198110;OUTUBRO;10;out/81;5o BIMESTRE/1981;4o TRIMESTRE/1981;2o SEMESTRE/1981;5o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
198111;NOVEMBRO;11;nov/81;6o BIMESTRE/1981;4o TRIMESTRE/1981;2o SEMESTRE/1981;6o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
198112;DEZEMBRO;12;dez/81;6o BIMESTRE/1981;4o TRIMESTRE/1981;2o SEMESTRE/1981;6o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
198201;JANEIRO;1;jan/82;1o BIMESTRE/1982;1o TRIMESTRE/1982;1o SEMESTRE/1982;1o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
198202;FEVEREIRO;2;fev/82;1o BIMESTRE/1982;1o TRIMESTRE/1982;1o SEMESTRE/1982;1o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
198203;MARÇO;3;mar/82;2o BIMESTRE/1982;1o TRIMESTRE/1982;1o SEMESTRE/1982;2o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
198204;ABRIL;4;abr/82;2o BIMESTRE/1982;2o TRIMESTRE/1982;1o SEMESTRE/1982;2o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
198205;MAIO;5;mai/82;3o BIMESTRE/1982;2o TRIMESTRE/1982;1o SEMESTRE/1982;3o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
198206;JUNHO;6;jun/82;3o BIMESTRE/1982;2o TRIMESTRE/1982;1o SEMESTRE/1982;3o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
198207;JULHO;7;jul/82;4o BIMESTRE/1982;3o TRIMESTRE/1982;2o SEMESTRE/1982;4o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
198208;AGOSTO;8;ago/82;4o BIMESTRE/1982;3o TRIMESTRE/1982;2o SEMESTRE/1982;4o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
198209;SETEMBRO;9;set/82;5o BIMESTRE/1982;3o TRIMESTRE/1982;2o SEMESTRE/1982;5o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
198210;OUTUBRO;10;out/82;5o BIMESTRE/1982;4o TRIMESTRE/1982;2o SEMESTRE/1982;5o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
198211;NOVEMBRO;11;nov/82;6o BIMESTRE/1982;4o TRIMESTRE/1982;2o SEMESTRE/1982;6o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
198212;DEZEMBRO;12;dez/82;6o BIMESTRE/1982;4o TRIMESTRE/1982;2o SEMESTRE/1982;6o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
198301;JANEIRO;1;jan/83;1o BIMESTRE/1983;1o TRIMESTRE/1983;1o SEMESTRE/1983;1o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
198302;FEVEREIRO;2;fev/83;1o BIMESTRE/1983;1o TRIMESTRE/1983;1o SEMESTRE/1983;1o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
198303;MARÇO;3;mar/83;2o BIMESTRE/1983;1o TRIMESTRE/1983;1o SEMESTRE/1983;2o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
198304;ABRIL;4;abr/83;2o BIMESTRE/1983;2o TRIMESTRE/1983;1o SEMESTRE/1983;2o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
198305;MAIO;5;mai/83;3o BIMESTRE/1983;2o TRIMESTRE/1983;1o SEMESTRE/1983;3o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
198306;JUNHO;6;jun/83;3o BIMESTRE/1983;2o TRIMESTRE/1983;1o SEMESTRE/1983;3o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
198307;JULHO;7;jul/83;4o BIMESTRE/1983;3o TRIMESTRE/1983;2o SEMESTRE/1983;4o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
198308;AGOSTO;8;ago/83;4o BIMESTRE/1983;3o TRIMESTRE/1983;2o SEMESTRE/1983;4o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
198309;SETEMBRO;9;set/83;5o BIMESTRE/1983;3o TRIMESTRE/1983;2o SEMESTRE/1983;5o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
198310;OUTUBRO;10;out/83;5o BIMESTRE/1983;4o TRIMESTRE/1983;2o SEMESTRE/1983;5o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
198311;NOVEMBRO;11;nov/83;6o BIMESTRE/1983;4o TRIMESTRE/1983;2o SEMESTRE/1983;6o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
198312;DEZEMBRO;12;dez/83;6o BIMESTRE/1983;4o TRIMESTRE/1983;2o SEMESTRE/1983;6o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
198401;JANEIRO;1;jan/84;1o BIMESTRE/1984;1o TRIMESTRE/1984;1o SEMESTRE/1984;1o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
198402;FEVEREIRO;2;fev/84;1o BIMESTRE/1984;1o TRIMESTRE/1984;1o SEMESTRE/1984;1o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
198403;MARÇO;3;mar/84;2o BIMESTRE/1984;1o TRIMESTRE/1984;1o SEMESTRE/1984;2o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
198404;ABRIL;4;abr/84;2o BIMESTRE/1984;2o TRIMESTRE/1984;1o SEMESTRE/1984;2o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
198405;MAIO;5;mai/84;3o BIMESTRE/1984;2o TRIMESTRE/1984;1o SEMESTRE/1984;3o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
198406;JUNHO;6;jun/84;3o BIMESTRE/1984;2o TRIMESTRE/1984;1o SEMESTRE/1984;3o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
198407;JULHO;7;jul/84;4o BIMESTRE/1984;3o TRIMESTRE/1984;2o SEMESTRE/1984;4o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
198408;AGOSTO;8;ago/84;4o BIMESTRE/1984;3o TRIMESTRE/1984;2o SEMESTRE/1984;4o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
198409;SETEMBRO;9;set/84;5o BIMESTRE/1984;3o TRIMESTRE/1984;2o SEMESTRE/1984;5o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
198410;OUTUBRO;10;out/84;5o BIMESTRE/1984;4o TRIMESTRE/1984;2o SEMESTRE/1984;5o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
198411;NOVEMBRO;11;nov/84;6o BIMESTRE/1984;4o TRIMESTRE/1984;2o SEMESTRE/1984;6o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
198412;DEZEMBRO;12;dez/84;6o BIMESTRE/1984;4o TRIMESTRE/1984;2o SEMESTRE/1984;6o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
198501;JANEIRO;1;jan/85;1o BIMESTRE/1985;1o TRIMESTRE/1985;1o SEMESTRE/1985;1o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
198502;FEVEREIRO;2;fev/85;1o BIMESTRE/1985;1o TRIMESTRE/1985;1o SEMESTRE/1985;1o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
198503;MARÇO;3;mar/85;2o BIMESTRE/1985;1o TRIMESTRE/1985;1o SEMESTRE/1985;2o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
198504;ABRIL;4;abr/85;2o BIMESTRE/1985;2o TRIMESTRE/1985;1o SEMESTRE/1985;2o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
198505;MAIO;5;mai/85;3o BIMESTRE/1985;2o TRIMESTRE/1985;1o SEMESTRE/1985;3o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
198506;JUNHO;6;jun/85;3o BIMESTRE/1985;2o TRIMESTRE/1985;1o SEMESTRE/1985;3o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
198507;JULHO;7;jul/85;4o BIMESTRE/1985;3o TRIMESTRE/1985;2o SEMESTRE/1985;4o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
198508;AGOSTO;8;ago/85;4o BIMESTRE/1985;3o TRIMESTRE/1985;2o SEMESTRE/1985;4o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
198509;SETEMBRO;9;set/85;5o BIMESTRE/1985;3o TRIMESTRE/1985;2o SEMESTRE/1985;5o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
198510;OUTUBRO;10;out/85;5o BIMESTRE/1985;4o TRIMESTRE/1985;2o SEMESTRE/1985;5o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
198511;NOVEMBRO;11;nov/85;6o BIMESTRE/1985;4o TRIMESTRE/1985;2o SEMESTRE/1985;6o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
198512;DEZEMBRO;12;dez/85;6o BIMESTRE/1985;4o TRIMESTRE/1985;2o SEMESTRE/1985;6o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
198601;JANEIRO;1;jan/86;1o BIMESTRE/1986;1o TRIMESTRE/1986;1o SEMESTRE/1986;1o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
198602;FEVEREIRO;2;fev/86;1o BIMESTRE/1986;1o TRIMESTRE/1986;1o SEMESTRE/1986;1o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
198603;MARÇO;3;mar/86;2o BIMESTRE/1986;1o TRIMESTRE/1986;1o SEMESTRE/1986;2o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
198604;ABRIL;4;abr/86;2o BIMESTRE/1986;2o TRIMESTRE/1986;1o SEMESTRE/1986;2o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
198605;MAIO;5;mai/86;3o BIMESTRE/1986;2o TRIMESTRE/1986;1o SEMESTRE/1986;3o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
198606;JUNHO;6;jun/86;3o BIMESTRE/1986;2o TRIMESTRE/1986;1o SEMESTRE/1986;3o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
198607;JULHO;7;jul/86;4o BIMESTRE/1986;3o TRIMESTRE/1986;2o SEMESTRE/1986;4o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
198608;AGOSTO;8;ago/86;4o BIMESTRE/1986;3o TRIMESTRE/1986;2o SEMESTRE/1986;4o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
198609;SETEMBRO;9;set/86;5o BIMESTRE/1986;3o TRIMESTRE/1986;2o SEMESTRE/1986;5o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
198610;OUTUBRO;10;out/86;5o BIMESTRE/1986;4o TRIMESTRE/1986;2o SEMESTRE/1986;5o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
198611;NOVEMBRO;11;nov/86;6o BIMESTRE/1986;4o TRIMESTRE/1986;2o SEMESTRE/1986;6o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
198612;DEZEMBRO;12;dez/86;6o BIMESTRE/1986;4o TRIMESTRE/1986;2o SEMESTRE/1986;6o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
198701;JANEIRO;1;jan/87;1o BIMESTRE/1987;1o TRIMESTRE/1987;1o SEMESTRE/1987;1o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
198702;FEVEREIRO;2;fev/87;1o BIMESTRE/1987;1o TRIMESTRE/1987;1o SEMESTRE/1987;1o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
198703;MARÇO;3;mar/87;2o BIMESTRE/1987;1o TRIMESTRE/1987;1o SEMESTRE/1987;2o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
198704;ABRIL;4;abr/87;2o BIMESTRE/1987;2o TRIMESTRE/1987;1o SEMESTRE/1987;2o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
198705;MAIO;5;mai/87;3o BIMESTRE/1987;2o TRIMESTRE/1987;1o SEMESTRE/1987;3o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
198706;JUNHO;6;jun/87;3o BIMESTRE/1987;2o TRIMESTRE/1987;1o SEMESTRE/1987;3o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
198707;JULHO;7;jul/87;4o BIMESTRE/1987;3o TRIMESTRE/1987;2o SEMESTRE/1987;4o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
198708;AGOSTO;8;ago/87;4o BIMESTRE/1987;3o TRIMESTRE/1987;2o SEMESTRE/1987;4o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
198709;SETEMBRO;9;set/87;5o BIMESTRE/1987;3o TRIMESTRE/1987;2o SEMESTRE/1987;5o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
198710;OUTUBRO;10;out/87;5o BIMESTRE/1987;4o TRIMESTRE/1987;2o SEMESTRE/1987;5o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
198711;NOVEMBRO;11;nov/87;6o BIMESTRE/1987;4o TRIMESTRE/1987;2o SEMESTRE/1987;6o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
198712;DEZEMBRO;12;dez/87;6o BIMESTRE/1987;4o TRIMESTRE/1987;2o SEMESTRE/1987;6o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
198801;JANEIRO;1;jan/88;1o BIMESTRE/1988;1o TRIMESTRE/1988;1o SEMESTRE/1988;1o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
198802;FEVEREIRO;2;fev/88;1o BIMESTRE/1988;1o TRIMESTRE/1988;1o SEMESTRE/1988;1o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
198803;MARÇO;3;mar/88;2o BIMESTRE/1988;1o TRIMESTRE/1988;1o SEMESTRE/1988;2o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
198804;ABRIL;4;abr/88;2o BIMESTRE/1988;2o TRIMESTRE/1988;1o SEMESTRE/1988;2o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
198805;MAIO;5;mai/88;3o BIMESTRE/1988;2o TRIMESTRE/1988;1o SEMESTRE/1988;3o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
198806;JUNHO;6;jun/88;3o BIMESTRE/1988;2o TRIMESTRE/1988;1o SEMESTRE/1988;3o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
198807;JULHO;7;jul/88;4o BIMESTRE/1988;3o TRIMESTRE/1988;2o SEMESTRE/1988;4o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
198808;AGOSTO;8;ago/88;4o BIMESTRE/1988;3o TRIMESTRE/1988;2o SEMESTRE/1988;4o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
198809;SETEMBRO;9;set/88;5o BIMESTRE/1988;3o TRIMESTRE/1988;2o SEMESTRE/1988;5o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
198810;OUTUBRO;10;out/88;5o BIMESTRE/1988;4o TRIMESTRE/1988;2o SEMESTRE/1988;5o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
198811;NOVEMBRO;11;nov/88;6o BIMESTRE/1988;4o TRIMESTRE/1988;2o SEMESTRE/1988;6o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
198812;DEZEMBRO;12;dez/88;6o BIMESTRE/1988;4o TRIMESTRE/1988;2o SEMESTRE/1988;6o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
198901;JANEIRO;1;jan/89;1o BIMESTRE/1989;1o TRIMESTRE/1989;1o SEMESTRE/1989;1o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
198902;FEVEREIRO;2;fev/89;1o BIMESTRE/1989;1o TRIMESTRE/1989;1o SEMESTRE/1989;1o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
198903;MARÇO;3;mar/89;2o BIMESTRE/1989;1o TRIMESTRE/1989;1o SEMESTRE/1989;2o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
198904;ABRIL;4;abr/89;2o BIMESTRE/1989;2o TRIMESTRE/1989;1o SEMESTRE/1989;2o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
198905;MAIO;5;mai/89;3o BIMESTRE/1989;2o TRIMESTRE/1989;1o SEMESTRE/1989;3o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
198906;JUNHO;6;jun/89;3o BIMESTRE/1989;2o TRIMESTRE/1989;1o SEMESTRE/1989;3o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
198907;JULHO;7;jul/89;4o BIMESTRE/1989;3o TRIMESTRE/1989;2o SEMESTRE/1989;4o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
198908;AGOSTO;8;ago/89;4o BIMESTRE/1989;3o TRIMESTRE/1989;2o SEMESTRE/1989;4o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
198909;SETEMBRO;9;set/89;5o BIMESTRE/1989;3o TRIMESTRE/1989;2o SEMESTRE/1989;5o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
198910;OUTUBRO;10;out/89;5o BIMESTRE/1989;4o TRIMESTRE/1989;2o SEMESTRE/1989;5o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
198911;NOVEMBRO;11;nov/89;6o BIMESTRE/1989;4o TRIMESTRE/1989;2o SEMESTRE/1989;6o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
198912;DEZEMBRO;12;dez/89;6o BIMESTRE/1989;4o TRIMESTRE/1989;2o SEMESTRE/1989;6o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
199001;JANEIRO;1;jan/90;1o BIMESTRE/1990;1o TRIMESTRE/1990;1o SEMESTRE/1990;1o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
199002;FEVEREIRO;2;fev/90;1o BIMESTRE/1990;1o TRIMESTRE/1990;1o SEMESTRE/1990;1o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
199003;MARÇO;3;mar/90;2o BIMESTRE/1990;1o TRIMESTRE/1990;1o SEMESTRE/1990;2o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
199004;ABRIL;4;abr/90;2o BIMESTRE/1990;2o TRIMESTRE/1990;1o SEMESTRE/1990;2o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
199005;MAIO;5;mai/90;3o BIMESTRE/1990;2o TRIMESTRE/1990;1o SEMESTRE/1990;3o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
199006;JUNHO;6;jun/90;3o BIMESTRE/1990;2o TRIMESTRE/1990;1o SEMESTRE/1990;3o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
199007;JULHO;7;jul/90;4o BIMESTRE/1990;3o TRIMESTRE/1990;2o SEMESTRE/1990;4o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
199008;AGOSTO;8;ago/90;4o BIMESTRE/1990;3o TRIMESTRE/1990;2o SEMESTRE/1990;4o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
199009;SETEMBRO;9;set/90;5o BIMESTRE/1990;3o TRIMESTRE/1990;2o SEMESTRE/1990;5o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
199010;OUTUBRO;10;out/90;5o BIMESTRE/1990;4o TRIMESTRE/1990;2o SEMESTRE/1990;5o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
199011;NOVEMBRO;11;nov/90;6o BIMESTRE/1990;4o TRIMESTRE/1990;2o SEMESTRE/1990;6o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
199012;DEZEMBRO;12;dez/90;6o BIMESTRE/1990;4o TRIMESTRE/1990;2o SEMESTRE/1990;6o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
199101;JANEIRO;1;jan/91;1o BIMESTRE/1991;1o TRIMESTRE/1991;1o SEMESTRE/1991;1o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
199102;FEVEREIRO;2;fev/91;1o BIMESTRE/1991;1o TRIMESTRE/1991;1o SEMESTRE/1991;1o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
199103;MARÇO;3;mar/91;2o BIMESTRE/1991;1o TRIMESTRE/1991;1o SEMESTRE/1991;2o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
199104;ABRIL;4;abr/91;2o BIMESTRE/1991;2o TRIMESTRE/1991;1o SEMESTRE/1991;2o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
199105;MAIO;5;mai/91;3o BIMESTRE/1991;2o TRIMESTRE/1991;1o SEMESTRE/1991;3o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
199106;JUNHO;6;jun/91;3o BIMESTRE/1991;2o TRIMESTRE/1991;1o SEMESTRE/1991;3o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
199107;JULHO;7;jul/91;4o BIMESTRE/1991;3o TRIMESTRE/1991;2o SEMESTRE/1991;4o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
199108;AGOSTO;8;ago/91;4o BIMESTRE/1991;3o TRIMESTRE/1991;2o SEMESTRE/1991;4o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
199109;SETEMBRO;9;set/91;5o BIMESTRE/1991;3o TRIMESTRE/1991;2o SEMESTRE/1991;5o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
199110;OUTUBRO;10;out/91;5o BIMESTRE/1991;4o TRIMESTRE/1991;2o SEMESTRE/1991;5o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
199111;NOVEMBRO;11;nov/91;6o BIMESTRE/1991;4o TRIMESTRE/1991;2o SEMESTRE/1991;6o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
199112;DEZEMBRO;12;dez/91;6o BIMESTRE/1991;4o TRIMESTRE/1991;2o SEMESTRE/1991;6o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
199201;JANEIRO;1;jan/92;1o BIMESTRE/1992;1o TRIMESTRE/1992;1o SEMESTRE/1992;1o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
199202;FEVEREIRO;2;fev/92;1o BIMESTRE/1992;1o TRIMESTRE/1992;1o SEMESTRE/1992;1o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
199203;MARÇO;3;mar/92;2o BIMESTRE/1992;1o TRIMESTRE/1992;1o SEMESTRE/1992;2o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
199204;ABRIL;4;abr/92;2o BIMESTRE/1992;2o TRIMESTRE/1992;1o SEMESTRE/1992;2o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
199205;MAIO;5;mai/92;3o BIMESTRE/1992;2o TRIMESTRE/1992;1o SEMESTRE/1992;3o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
199206;JUNHO;6;jun/92;3o BIMESTRE/1992;2o TRIMESTRE/1992;1o SEMESTRE/1992;3o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
199207;JULHO;7;jul/92;4o BIMESTRE/1992;3o TRIMESTRE/1992;2o SEMESTRE/1992;4o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
199208;AGOSTO;8;ago/92;4o BIMESTRE/1992;3o TRIMESTRE/1992;2o SEMESTRE/1992;4o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
199209;SETEMBRO;9;set/92;5o BIMESTRE/1992;3o TRIMESTRE/1992;2o SEMESTRE/1992;5o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
199210;OUTUBRO;10;out/92;5o BIMESTRE/1992;4o TRIMESTRE/1992;2o SEMESTRE/1992;5o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
199211;NOVEMBRO;11;nov/92;6o BIMESTRE/1992;4o TRIMESTRE/1992;2o SEMESTRE/1992;6o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
199212;DEZEMBRO;12;dez/92;6o BIMESTRE/1992;4o TRIMESTRE/1992;2o SEMESTRE/1992;6o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
